file,net of investment,net of pension plan investment,net of administrative and investment,discount rate,net of 0.25% of investment,net of inflation. one hundred percent (100%) of the plan’s investment,net of opeb plan investment,investment rate of return,opeb plan,net of plan investment,net of pension investment,context
"MI2020/MI Livingston County ","","","","['7.75 percent']","","","","['7.75']","","","","december 31, 2020 note 8 - pension plans (continued) in the current year, the investment rate of return and discount rate decreased from 7.75 percent to 7.60 percent. in addition, the salary increase assumption was decreased from 3.75 percent to 3.00 percent. as"
"MI2020/MI Livingston County ","","","","['6.44 percent']","","","","","","","","using a scale mp-2018 during 2019, the road commission retiree health care plan created a trust and contributed to it. as a result, it used an investment rate of rate of 7.00 percent and a discount rate of 6.44 percent. the road commission also decreased the health care cost trend rate and adjusted mortality tables. as a result, the"
"MI2020/MI Livingston County ","","","","['6.44 percent']","","","","","","","","sensitivity of the net opeb (asset) liability to changes in the discount rate the following presents the net opeb (asset) liability of the county and the road commission, calculated using the discount rate of 6.25 percent for the county and 6.44 percent for the road commission, as well as what the county's and the road commission's net opeb (asset) liability would be if they were"
"MI2020/MI Livingston County ","","","","['7.60 percent']","","","","['7.60']","","","","133.42 % changes in assumptions for the measurement date of december 31, 2019, the investment rate of return and discount rate decreased from 7.75 to 7.60 percent. in addition, the salary increase assumption was decreased from 3.75 to 3.00 percent. as a result of the decrease, the total pension liability increased by $5,242,940."
"MI2020/MI Livingston County ","","","","['7.60 percent']","","","","['7.60']","","","","133.42 % changes in assumptions for the measurement date of december 31, 2019, the investment rate of return and discount rate decreased from 7.75 to 7.60 percent. in addition, the salary increase assumption was decreased from 3.75 to 3.00 percent. as a result of the decrease, the total pension liability increased by $5,242,940."
"MI2020/MI Livingston County ","","","","['7.60 percent']","","","","['7.60']","","","","133.42 % changes in assumptions for the measurement date of december 31, 2019, the investment rate of return and discount rate decreased from 7.75 to 7.60 percent. in addition, the salary increase assumption was decreased from 3.75 to 3.00 percent. as a result of the decrease, the total pension liability increased by $5,242,940."
"MI2020/MI Livingston County ","","","","['7.75 percent']","","","","['7.75']","","","","for the measurement date of december 31, 2019, the investment rate of return and discount rate decreased from 7.75 to 7.60 percent. in addition, the salary increase assumption was decreased from 3.75 to 3.00 percent. as a result of the decrease, the total pension liability increased by $5,242,940. for the measurement date of december 31, 2015, the investment rate of return and discount rate decreased from 8.00 to 7.75 percent. as a result of the decrease, the total pension liability increased by $6,597,663."
"MI2020/MI Livingston County ","","","","['7.75 percent']","","","","['7.75']","","","","for the measurement date of december 31, 2019, the investment rate of return and discount rate decreased from 7.75 to 7.60 percent. in addition, the salary increase assumption was decreased from 3.75 to 3.00 percent. as a result of the decrease, the total pension liability increased by $5,242,940. for the measurement date of december 31, 2015, the investment rate of return and discount rate decreased from 8.00 to 7.75 percent. as a result of the decrease, the total pension liability increased by $6,597,663."
"MI2020/MI Livingston County ","","","","['7.75 percent']","","","","['7.75']","","","","for the measurement date of december 31, 2019, the investment rate of return and discount rate decreased from 7.75 to 7.60 percent. in addition, the salary increase assumption was decreased from 3.75 to 3.00 percent. as a result of the decrease, the total pension liability increased by $5,242,940. for the measurement date of december 31, 2015, the investment rate of return and discount rate decreased from 8.00 to 7.75 percent. as a result of the decrease, the total pension liability increased by $6,597,663."
"MI2020/MI Livingston County ","['7.75 percent']","","","","","","","","","","","2.50 percent 3.75 percent, including inflation 7.75 percent, net of investment expenses experience-based tables of rates that are specific to the type of eligibility condition"
"MI2020/MI Livingston County ","['7.75 percent']","","","","","","","","","","","2.50 percent 3.75 percent, including inflation 7.75 percent, net of investment expenses experience-based tables of rates that are specific to the type of eligibility condition"
"MI2020/MI Waterford Charter Township ","['6.5 percent']","","","","","","","['6.5']","","","","the total opeb liability in the december 31, 2018 actuarial valuation was determined using an inflation assumption of 2.5 percent; assumed salary increases (including inflation) of 3.50 to 11.42 percent; an investment rate of return (net of investment expenses) of 6.5 percent; a health care cost trend rate of 8.25 percent for 2019, decreasing to an ultimate rate of 3.5 percent for 2033 and later years; and the rp-2014"
"MI2020/MI Waterford Charter Township ","['6.5 percent']","","","","","","","['6.5']","","","","the total opeb liability in the december 31, 2018 actuarial valuation was determined using an inflation assumption of 2.5 percent; assumed salary increases (including inflation) of 3.50 to 11.42 percent; an investment rate of return (net of investment expenses) of 6.5 percent; a health care cost trend rate of 8.25 percent for 2019, decreasing to an ultimate rate of 3.5 percent for 2033 and later years; and the rp-2014"
"MI2020/MI Waterford Charter Township ","['6.5 percent']","","","","","","","['6.5']","","","","the total opeb liability in the december 31, 2018 actuarial valuation was determined using an inflation assumption of 2.5 percent; assumed salary increases (including inflation) of 3.50 to 11.42 percent; an investment rate of return (net of investment expenses) of 6.5 percent; a health care cost trend rate of 8.25 percent for 2019, decreasing to an ultimate rate of 3.5 percent for 2033 and later years; and the rp-2014"
"MI2020/MI Waterford Charter Township ","","","","['6.5 percent']","","","","","","","","were applied to all periods included in the measurement. discount rate the discount rate used to measure the total opeb liability was 6.5 percent. the projection of cash flows used to determine the discount rate assumed that employee contributions will be the sum of all"
"MI2020/MI Waterford Charter Township ","","","","","","","","","['6.50 percent']","","","trend starting at 8.25 percent in 2019, grading to 3.50 percent in 2033 3.50 to 6.71 percent for general members and 3.65 to 11.42 percent for police and fire members 6.50 percent, net of opeb plan expenses experience-based table of rates that are specific to the type of eligibility condition"
"MI2020/MI Waterford Charter Township ","","","","","","","","['6.75']","","","","pension information changes in assumptions in 2018, both pension plans reduced the assumed investment rate of return to 6.75 percent, reduced the inflation assumption to 2.5 percent, and updated the mortality table to the rp-2014 mortality table."
"MI2020/MI Shelby Charter Township ","['7.5 percent']","","","","","","","['7.5']","","","","the total pension liability in the december 31, 2020 actuarial valuation was determined using an inflation assumption of 2.5 percent, assumed salary increases (including inflation) of 3.5 to 8.75 percent, an investment rate of return (net of investment expenses) of 7.5 percent, and the pub-2010 public safety mortality table projected using fully generational improvements based on the society of actuaries' mp2020 projection scale (see changes disclosed below)."
"MI2020/MI Shelby Charter Township ","['7.5 percent']","","","","","","","['7.5']","","","","the total pension liability in the december 31, 2020 actuarial valuation was determined using an inflation assumption of 2.5 percent, assumed salary increases (including inflation) of 3.5 to 8.75 percent, an investment rate of return (net of investment expenses) of 7.5 percent, and the pub-2010 public safety mortality table projected using fully generational improvements based on the society of actuaries' mp2020 projection scale (see changes disclosed below)."
"MI2020/MI Shelby Charter Township ","","","","['7.50 percent']","","","","","","","","mortality table projected using fully generational improvements based on the society of actuaries' mp2020 projection scale (see changes disclosed below). discount rate the discount rate used to measure the total pension liability was 7.50 percent. the projection of cash flows used to determine the discount rate assumed that employee contributions will be made at the"
"MI2020/MI Shelby Charter Township ","['6.75 percent']","","","","","","","['6.75']","","","","the total opeb liability in the december 31, 2020 actuarial valuation was determined using an inflation assumption of 3.75 percent; assumed salary increases (including inflation) of 0 to 7.2 percent; an investment rate of return (net of investment expenses) of 6.75 percent; and a health care cost trend rate of 7.5 percent, 4.75 percent, and 3.75 percent for medical, dental, and vision benefits, respectively. the"
"MI2020/MI Shelby Charter Township ","['6.75 percent']","","","","","","","['6.75']","","","","the total opeb liability in the december 31, 2020 actuarial valuation was determined using an inflation assumption of 3.75 percent; assumed salary increases (including inflation) of 0 to 7.2 percent; an investment rate of return (net of investment expenses) of 6.75 percent; and a health care cost trend rate of 7.5 percent, 4.75 percent, and 3.75 percent for medical, dental, and vision benefits, respectively. the"
"MI2020/MI Shelby Charter Township ","","","","['6.75 percent']","","","","","","","","fully generational using scale mp-2019. discount rate the discount rate used to measure the total opeb liability was 6.75 percent. the projection of cash flows used to determine the discount rate assumed that employee contributions will be made at the current"
"MI2020/MI Shelby Charter Township ","","","","['6.75 percent']","","","","","","","","using scale mp-2019 2017 - the discount rate was increased from 6.5 percent to 6.75 percent. - the actuarial cost method has been updated from projected unit credit with linear proration to decrement to"
"MI2020/MI Wayland ","['7.35 percent']","","","","","","","['7.35']","","","","assumption changes: the following assumption changes were reflected in the 2019 valuation: • the investment rate of return, net of investment expense, including inflation, was reduced from 7.75 to 7.35 percent. • the rate of wage inflation was changed from 3.75 to 3.00 percent."
"MI2020/MI Wayland ","['7.35 percent']","","","","","","","['7.35']","","","","assumption changes: the following assumption changes were reflected in the 2019 valuation: • the investment rate of return, net of investment expense, including inflation, was reduced from 7.75 to 7.35 percent. • the rate of wage inflation was changed from 3.75 to 3.00 percent."
"MI2020/MI Wayland ","['7.35 percent']","","","","","","","['7.35']","","","","assumption changes: the following assumption changes were reflected in the 2019 valuation: • the investment rate of return, net of investment expense, including inflation, was reduced from 7.75 to 7.35 percent. • the rate of wage inflation was changed from 3.75 to 3.00 percent."
"MI2020/MI Wayland ","","","","['7.60%']","","","","","","","","7.60% discount rate: the discount rate used to measure the total pension liability is 7.60% for 2019. the projection of cash flows used to determine the discount rate assumes that employer contributions will be made at the actuarially determined rates for employers. based"
"MI2020/MI Wayland ","","","","['7.60%']","","","","","","","","3,181,782 sensitivity of the net pension liability to changes in the discount rate: the following presents the net pension liability of the city, calculated using the discount rate of 7.60%, as well as what the city’s net pension liability would be using a discount rate that is 1 percentage point lower (6.60%) or 1 percentage point higher"
"MI2020/MI Wayland ","","","","['6.60%']","","","","","","","","sensitivity of the net pension liability to changes in the discount rate: the following presents the net pension liability of the city, calculated using the discount rate of 7.60%, as well as what the city’s net pension liability would be using a discount rate that is 1 percentage point lower (6.60%) or 1 percentage point higher (8.60%) than the current rate."
"MI2020/MI Wayland ","['7.35%']","","","","","","","","","","","3.00% (3.75% for 2015 through 2019) investment rate of return 7.35%, net of investment and administrative expenses, including inflation retirement age"
"MI2020/MI Pellston ","['7.60%']","","","","","","","","","","","3.00% in the long-term investment rate of return 7.60% net of investment expense, including inflation although no specific price inflation assumptions are needed for the valuation, the 3.00% long-term"
"MI2020/MI Pellston ","","","","['7.6%']","","","","","","","","4.23% 6.56% discount rate: the discount rate used to measure the total pension liability is 7.6%. the projection of cash flows used to determine the discount rate assumes that employer and employee"
"MI2020/MI Pellston ","","","","['8.60%']","","","","","","","","the following presents the net pension liability of the village, calculated using the discount rate of 7.60%, as well as what the village’s net pension liability would be if it were calculated using a discount rate that is one percentage point lower (6.60%) or one percentage point higher 8.60%) than the current rate."
"MI2020/MI Walker ","['7.35%']","","","","","","","['7.35']","","","","salary increases: base wage inflation of 3.00% in the long-term (plus merit and longevity from 0 to 11% based on age) investment rate of return: 7.35%, net of investment expense, including inflation 35"
"MI2020/MI Walker ","['7.35%']","","","","","","","['7.35']","","","","salary increases: base wage inflation of 3.00% in the long-term (plus merit and longevity from 0 to 11% based on age) investment rate of return: 7.35%, net of investment expense, including inflation 35"
"MI2020/MI Walker ","","","","['7.60%']","","","","","","","","investment rate of return 7.60% discount rate. the discount rate used to measure the total pension liability is 7.60%. the projection of cash flows used to determine the discount rate assumes that employer and employee contributions"
"MI2020/MI Walker ","","","","","","","","['3.0']","","","","inflation: 2.0% salary increases: 2.5% investment rate of return: 3.0% healthcare cost trend rates: 5% per year"
"MI2020/MI Walker ","","","","['3.0%']","","","","","","","","the sum of each target benefit times its long-term expected real rate is 1.0%. the long-term expected rate of return is 3.0% with inflation. discount rate. the discount rate used to measure the total opeb liability is 3.0%. for projected benefits that are expected to be covered by projected assets, the long-term expected rate was used to discount"
"MI2020/MI Walker ","","","","['3.0%']","","","","","","","","a 20-year aa/aa tax-exempt municipal bond yield. a single equivalent discount rate that yields the same present value of benefits is calculated. this discount rate is used to determine the total opeb liability. as of june 30, 2020, the discount rate used to value opeb liabilities was 3.0%. changes in the net opeb liability"
"MI2020/MI Walker ","","","","['3.47%']","","","","","","","","- state of michigan pa 202 assumptions, if different from gasb: discount rate - 3.47% salary scale - 3.5%"
"MI2020/MI Vicksburg ","","","","['7.60%']","","","","","","","","6.56% discount rate: the discount rate used to measure the total pension liability is 7.60% for 2019. the projection of cash flows used to determine the discount rate assumes that employer contributions will be made at the actuarially determined rates for employers. based"
"MI2020/MI Vicksburg ","","","","['7.60%']","","","","","","","","919,791 sensitivity of the net pension liability to changes in the discount rate: the following presents the net pension liability of the village, calculated using the discount rate of 7.60%, as well as what the village’s net pension liability would be using a discount rate that is 1 percentage point lower (6.60%) or 1 percentage point higher"
"MI2020/MI Vicksburg ","","","","['6.60%']","","","","","","","","sensitivity of the net pension liability to changes in the discount rate: the following presents the net pension liability of the village, calculated using the discount rate of 7.60%, as well as what the village’s net pension liability would be using a discount rate that is 1 percentage point lower (6.60%) or 1 percentage point higher (8.60%) than the current rate."
"MI2020/MI Vicksburg ","['7.35%']","","","","","","","","","","","3.00% (3.75% for 2015 through 2019) investment rate of return 7.35%, net of investment and administrative expenses, including inflation (7.75% for 2015 through 2019) retirement age"
"MI2020/MI Davison Township ","","","","['7.60 percent']","","","","","","","","of the rp-2014 disabled retiree mortality tables. discount rate the discount rate used to measure the total pension liability was 7.60 percent. the projection of cash flows used to determine the discount rate assumed that employee contributions will be made at the"
"MI2020/MI Davison Township ","","","","['8.60 percent']","","","","","","","","the following presents the net pension liability of the township, calculated using the discount rate of 7.60 percent, as well as what the township's net pension liability would be if it were calculated using a discount rate that is 1 percentage point lower (6.60 percent) or 1 percentage point higher (8.60 percent) than the current rate:"
"MI2020/MI Davison Township ","","","","['4.74 percent']","","","","","","","","scale) discount rate the discount rate used to measure the total opeb liability was 4.74 percent. the projection of cash flows used to determine the discount rate assumed that employee contributions will be made at the current"
"MI2020/MI Davison Township ","","","","['4.74 percent']","","","","","","","","contributions are recognized as expense when due and payable in accordance with the benefit terms. assumption changes the discount rate was decreased from 4.88 percent at june 30, 2019 to 4.74 percent at june 30, 2020. further, the mortality improvement scale updated from mp-2018 to mp-2019. these assumption changes"
"MI2020/MI Davison Township ","","['8.00 percent']","","","","","","","","","","2.50 percent 3.75 percent 8.00 percent - net of pension plan investment expense, gross of administrative expense (including inflation) experience-based table of rates is specific to the type of eligibility condition"
"MI2020/MI Lansing Charter Township ","['7.35%']","","","","","","","","","","","reflect merit, longevity, and promotional pay increases. investment rate of return: 7.35%, net of investment expenses, including inflation. the mortality table used to project the mortality experience of non-disabled plan members is a 50% male 50% female blend of the following tables: 1. the rp-2014 healthy annuitant mortality tables, with rates"
"MI2020/MI Lansing Charter Township ","","","","['7.60%']","","","","","","","","changes in assumptions the actuarial assumptions were changed during the year as follows: reduction in discount rate from 8.00% to 7.60%. reduction in the investment rate of return assumption from 7.75% to 7.35%."
"MI2020/MI Lansing Charter Township ","","","","","","","","['7.35']","","","","the actuarial assumptions were changed during the year as follows: reduction in discount rate from 8.00% to 7.60%. reduction in the investment rate of return assumption from 7.75% to 7.35%. reduction in the rate of wage inflation from 3.75% to 3.00%."
"MI2020/MI Lansing Charter Township ","","","","","","","","['7.35']","","","","the actuarial assumptions were changed during the year as follows: reduction in discount rate from 8.00% to 7.60%. reduction in the investment rate of return assumption from 7.75% to 7.35%. reduction in the rate of wage inflation from 3.75% to 3.00%."
"MI2020/MI Lansing Charter Township ","","","","['7.60%']","","","","","","","","reduction in the rate of wage inflation from 3.75% to 3.00%. discount rate the discount rate used to measure the total pension liability is 7.60%. the projection of cash flows used to determine the discount rate assumes that employer and employee contributions will be made at the rates agreed"
"MI2020/MI Lansing Charter Township ","","","","['7.60%']","","","","","","","","defined benefit plan (continued) sensitivity of the net position liability to changes in the discount rate the following presents the net pension liability of the township, calculated using the discount rate of 7.60%, as well as what the township’s net position liability would be using a discount rate that is 1% lower (6.60%) or"
"MI2020/MI Lansing Charter Township ","","","","['6.60%']","","","","","","","","sensitivity of the net position liability to changes in the discount rate the following presents the net pension liability of the township, calculated using the discount rate of 7.60%, as well as what the township’s net position liability would be using a discount rate that is 1% lower (6.60%) or 1% higher (8.60%) than the current rate."
"MI2020/MI Lansing Charter Township ","","","","['3.26%']","","","","","","","","the actuarial assumptions were changed during the year as follows: mortality improvement scale changed from mp-2018 to mp-2020. reduction in discount rate from 3.64% to 3.26%. summary of significant accounting policies"
"MI2020/MI Lansing Charter Township ","","","","['3.26%']","","","","","","","","note 8 - other post-employment benefits (continued) discount rate the discount rate used to measure the total opeb liability was 3.26%. the assets are not projected to be sufficient to make projected future benefit payments of current plan members. for projected benefits that are"
"MI2020/MI Lansing Charter Township ","","","","['2.64%']","","","","","","","","sensitivity of the net opeb liability to changes in the discount rate the following presents the net opeb liability of the township, as well as what the township’s net opeb liability would be if it were calculated using a discount rate that is 1-percentage-point lower (2.64%) or 1-percentagepoint higher than the current discount rate: 1% decrease"
"MI2020/MI Lansing Charter Township ","","","","['7.60%']","","","","","","","","division 50: increased from 4.41% to 6.19%. changes in assumptions: reduction in discount rate from 8.00% to 7.60%. reduction in the investment rate of return assumption from 7.75% to 7.35%."
"MI2020/MI Lansing Charter Township ","","","","","","","","['7.35']","","","","changes in assumptions: reduction in discount rate from 8.00% to 7.60%. reduction in the investment rate of return assumption from 7.75% to 7.35%. reduction in rate of wage inflation from 3.75% to 3.00%."
"MI2020/MI Lansing Charter Township ","","","","","","","","['7.35']","","","","changes in assumptions: reduction in discount rate from 8.00% to 7.60%. reduction in the investment rate of return assumption from 7.75% to 7.35%. reduction in rate of wage inflation from 3.75% to 3.00%."
"MI2020/MI Lansing Charter Township ","","","","['3.26%']","","","","","","","","changes in assumptions: mortality improvement scale changed from mp-2018 to mp-2020. discount rate changed from 3.64% to 3.26%. note 3 - excess of expenditures over appropriations"
"MI2020/MI Oronoko Charter Township ","['7.75%']","","","","","","","['7.75']","","","","salary increases 3.75% in the long-term • investment rate of return of 7.75%, net of investment expense, including inflation."
"MI2020/MI Oronoko Charter Township ","['7.75%']","","","","","","","['7.75']","","","","salary increases 3.75% in the long-term • investment rate of return of 7.75%, net of investment expense, including inflation."
"MI2020/MI Oronoko Charter Township ","","","","['7.60%']","","","","","","","","0.30% 1.30% discount rate – the discount rate used to measure the total pension liability is 7.60%. the projection of cash flows used to determine the discount rate assumes that"
"MI2020/MI Schoolcraft County ","['7.35%']","","","","","","","","","","","2.50% 3.00%, average, including inflation in the long-term 7.35%, net of investment and administrative expense, including inflation"
"MI2020/MI Schoolcraft County ","","","","['7.60%']","","","","","","","","1.26% 6.56% discount rate: the discount rate used to measure the total pension liability is 7.60% in 2019. the projection of cash flows used to determine the discount rate assumes that employer and employee"
"MI2020/MI Schoolcraft County ","","","","['7.60%']","","","","","","","","7,139,699 sensitivity of the net pension liability to changes in the discount rate: the following presents the net pension liability of the county, calculated using the discount rate of 7.60%, as well as what the county’s net pension liability would be if it were calculated using a discount rate that is 1-percentage-point lower"
"MI2020/MI Schoolcraft County ","['7.35%']","","","","","","","","","","","2.50% 3.00% in the long-term 7.35%, net of investment expense, including inflation although no explicit price inflation assumptions are needed for the valuation, the 2.50% long-term"
"MI2020/MI Schoolcraft County ","","","","['7.60%']","","","","","","","","6.56% 7.50% discount rate. the discount rate used to measure the total pension liability is 7.60% for 2019. the projection of cash flows used to determine the discount rate assumes that employer and employee"
"MI2020/MI Schoolcraft County ","","","","['7.60%']","","","","","","","","note p - retirement plans (continued) sensitivity of the net pension liability to changes in the discount rate. the following presents the net pension liability of the road commission, calculated using the discount rate of 7.60%, as well as what the road commission’s net pension liability would be if it were calculated using a discount"
"MI2020/MI Schoolcraft County ","['7.75 percent']","","","","","","","","","","","2.50 percent 3.75 percent, average, including inflation in the long-term 7.75 percent, net of investment and administrative expense, including inflation"
"MI2020/MI Schoolcraft County ","","","","['8.00%']","","","","","","","","real assets diversifying strategies discount rate. the discount rate used to measure the total pension liability is 8.00% for 2018. the projection of cash flows used to determine the discount rate assumes that employer and employee"
"MI2020/MI Schoolcraft County ","","","","['8.00%']","","","","","","","","5,459,034 sensitivity of the net pension liability to changes in the discount rate. the following presents the net pension liability of the hospital, calculated using the discount rate of 8.00%, as well as what the hospital’s net pension liability would be if it were calculated using a discount rate that is 1percentage-point lower (7.00%) or 1-percentage-point higher (9.00%) than the current rate:"
"MI2020/MI Schoolcraft County ","","","","['9.00%']","","","","","","","","sensitivity of the net pension liability to changes in the discount rate. the following presents the net pension liability of the hospital, calculated using the discount rate of 8.00%, as well as what the hospital’s net pension liability would be if it were calculated using a discount rate that is 1percentage-point lower (7.00%) or 1-percentage-point higher (9.00%) than the current rate: net pension liability"
"MI2020/MI Schoolcraft County ","","['7.6 percent']","","","","","","","","","","2.50 percent 3.0 percent 7.6 percent, net of pension plan investment expense mortality rates used were based on the rp-2014 healthy annuitant mortality tables (with rates"
"MI2020/MI Schoolcraft County ","","","","['7.6%']","","","","","","","","global fixed income real assets discount rate. the discount rate used to measure the total pension liability is 7.6% for 2019. the projection of cash flows used to determine the discount rate assumes that employer and employee"
"MI2020/MI Schoolcraft County ","","","","['7.60%']","","","","","","","","$ 7,207,808 sensitivity of the net pension liability to changes in the discount rate. the following presents the net pension liability of the medical care facility, calculated using the discount rate of 7.60% , as well as what the medical care facility’s net pension liability would be if it were calculated using a"
"MI2020/MI Schoolcraft County ","","","","['8.60%']","","","","","","","","net pension liability of the medical care facility, calculated using the discount rate of 7.60% , as well as what the medical care facility’s net pension liability would be if it were calculated using a discount rate that is 1-percentage-point lower (6.60%) or 1-percentage-point higher (8.60%) than the current rate:"
"MI2020/MI Schoolcraft County ","['7.35 percent']","","","","","","","","","","","2.50 percent 3.00 percent in the long-term 7.35 percent, net of investment and administrative expense including inflation"
"MI2020/MI Schoolcraft County ","","","","['7.60%']","","","","","","","","1.26% 6.56% discount rate: the discount rate used to measure the total pension liability is 7.60% for 2019. the projection of cash flows used to determine the discount rate assumes that employer and employee"
"MI2020/MI Schoolcraft County ","","","","['7.60%']","","","","","","","","780,038 sensitivity of the net pension liability to changes in the discount rate: the following presents the net pension liability of the transit, calculated using the discount rate of 7.60%, as well as what the transit’s net pension liability would be if it were calculated using a discount rate that is 1-percentage-point lower"
"MI2020/MI Schoolcraft County ","","","","['4.27%']","","","","","","","","0.50% the sum of each target allocation times its long-term expected rate is 4.27%, including inflation. discount rate. the discount rate used to measure the total opeb liability was 4.27%. the employer is assumed to make $120,000 annual contributions. given this assumption, the assets are projected to be"
"MI2020/MI Schoolcraft County ","","","","['6.98%']","","","","","","","","projected benefits. because there is no depletion date (cross-over point) the effective discount rate is equal to the expected rate of return. this discount rate is used to determine the total opeb liability. the discount rate used to determine the liability as of september 30, 2019 was 6.98%. 79"
"MI2020/MI Schoolcraft County ","","","","","","","","['7.35']","","","","historically low interest rates, along with high equity market valuations, have led to reductions in projected returns for most asset classes. this has resulted in a board adopted reduction in the investment rate of return assumption to 7.35%, effective with the december 31, 2019 valuation first impacting 2021 contributions. the board also changed the assumed rate of wage inflation from 3.75%"
"MI2020/MI Schoolcraft County ","","","","","","","","['3.00']","","","","notes to schedule: schedule prepared based on measurement date of december 31, which is not the fiscal year changes in assumptions: 2019 reflects a change in the investment rate of return assumption from 7.75% to 7.35% and the assumed rate of wage inflation from 3.75% to 3.00%. 93"
"MI2020/MI Schoolcraft County ","","","","","","","","['3.00']","","","","notes to schedule: schedule prepared based on measurement date of december 31, which is not the fiscal year changes in assumptions: 2019 reflects a change in the investment rate of return assumption from 7.75% to 7.35% and the assumed rate of wage inflation from 3.75% to 3.00%. 93"
"MI2020/MI Schoolcraft County ","","","","","","","","['7.35']","","","","employee mortality tables, and the rp-2014 juvenile mortality tables using a 50% male and 50% female blend. assumption changes in the 2019 mers valuation, the investment rate of return was reduced from 7.75% to 7.35%, which will first impact 2021 contributions. additionally, the inflation assumption was changed from 3.75% to 3.00%."
"MI2020/MI Schoolcraft County ","","","","","","","","['7.35']","","","","employee mortality tables, and the rp-2014 juvenile mortality tables using a 50% male and 50% female blend. assumption changes in the 2019 mers valuation, the investment rate of return was reduced from 7.75% to 7.35%, which will first impact 2021 contributions. additionally, the inflation assumption was changed from 3.75% to 3.00%."
"MI2020/MI Schoolcraft County ","","","","","","","","['3.00']","","","","above dates are based on measurement date, which may not necessarily tie to the fiscal year. 10-year schedule as required by gasb statement no. 68 will be built prospectively upon implementation of the standard. changes in assumptions: 2019 reflects a change in the investment rate of return assumption from 7.75% to 7.35% and the assumed rate of wage inflation from 3.75% to 3.00%. 95"
"MI2020/MI Schoolcraft County ","","","","","","","","['3.00']","","","","above dates are based on measurement date, which may not necessarily tie to the fiscal year. 10-year schedule as required by gasb statement no. 68 will be built prospectively upon implementation of the standard. changes in assumptions: 2019 reflects a change in the investment rate of return assumption from 7.75% to 7.35% and the assumed rate of wage inflation from 3.75% to 3.00%. 95"
"MI2020/MI Schoolcraft County ","['7.35%']","","","","","","","","","","","2.50% 3.00% in the long term 7.35%, net of investment and administrative expense including inflation experienced-based tables of rates that are specific to the type of eligibility condition"
"MI2020/MI Schoolcraft County ","","","","","","","","['7.35']","","","","experienced-based tables of rates that are specific to the type of eligibility condition rp-2014 group annuity mortality table of a 50% male and 50% female blend in the 2019 mers valuation, the investment rate of return was reduced from 7.75% to 7.35%, which will first impact 2021 contributions. additionally, the inflation assumption was changed from 3.75% to 3.00%."
"MI2020/MI Schoolcraft County ","","","","","","","","['7.35']","","","","experienced-based tables of rates that are specific to the type of eligibility condition rp-2014 group annuity mortality table of a 50% male and 50% female blend in the 2019 mers valuation, the investment rate of return was reduced from 7.75% to 7.35%, which will first impact 2021 contributions. additionally, the inflation assumption was changed from 3.75% to 3.00%."
"MI2020/MI Schoolcraft County ","","","","","","","","['3.00']","","","","200% above dates are based on measurement date, which may not necessarily tie to the fiscal year. changes in assumptions: 2019 reflects a change in the investment rate of return assumption from 7.75% to 7.35% and the assumed rate of wage inflation from 3.75% to 3.00%. 99"
"MI2020/MI Schoolcraft County ","","","","","","","","['3.00']","","","","200% above dates are based on measurement date, which may not necessarily tie to the fiscal year. changes in assumptions: 2019 reflects a change in the investment rate of return assumption from 7.75% to 7.35% and the assumed rate of wage inflation from 3.75% to 3.00%. 99"
"MI2020/MI Schoolcraft County ","","","","","","","","['7.35']","","","","age 60 with early retirement at 55 with 20 years of service 50% female/50% male rp-2014 group annuity mortality tables in the 2019 mers valuation, the investment rate of return was reduced from 7.75% to 7.35%, which will first impact 2021 contributions. additionally, the inflation assumption was changed from 3.75% to 3.00%."
"MI2020/MI Schoolcraft County ","","","","","","","","['7.35']","","","","age 60 with early retirement at 55 with 20 years of service 50% female/50% male rp-2014 group annuity mortality tables in the 2019 mers valuation, the investment rate of return was reduced from 7.75% to 7.35%, which will first impact 2021 contributions. additionally, the inflation assumption was changed from 3.75% to 3.00%."
"MI2020/MI Schoolcraft County ","","","","","","","","['7.35']","","","","this schedule is intended to show a 10-year trend. additional years will be reported as they become available. above dates are based on measurement date, which may not necessarily tie to the fiscal year. changes in assumptions: 2019 reflects a change in the investment rate of return assumption from 7.75% to 7.35% and the assumed rate of wage inflation from 3.75% to 3.00%."
"MI2020/MI Schoolcraft County ","","","","","","","","['7.35']","","","","this schedule is intended to show a 10-year trend. additional years will be reported as they become available. above dates are based on measurement date, which may not necessarily tie to the fiscal year. changes in assumptions: 2019 reflects a change in the investment rate of return assumption from 7.75% to 7.35% and the assumed rate of wage inflation from 3.75% to 3.00%."
"MI2020/MI Schoolcraft County ","","","","","","","","['7.35']","","","","and 50% female blend. assumption changes in the 2019 mers valuation, the investment rate of return was reduced from 7.75% to 7.35%, which will first impact 2021 contributions. additionally, the inflation assumption was changed from 3.75% to 3.00%."
"MI2020/MI Schoolcraft County ","","","","","","","","['7.35']","","","","and 50% female blend. assumption changes in the 2019 mers valuation, the investment rate of return was reduced from 7.75% to 7.35%, which will first impact 2021 contributions. additionally, the inflation assumption was changed from 3.75% to 3.00%."
"MI2020/MI Presque Isle County ","","","","['7.60%']","","","","","","","","10.0% 6.56% discount rate: the discount rate used to measure the total pension liability is 7.60% for 2019. the projection of cash flows used to determine the discount rate assumes that employer and employee contributions will be made at the"
